Physics	Study	05/16/20	11:22:52	13:05:19	1:42:26.923355	Studied the remanings of Physics 11 Chapter 4,finished chapter 4 and tooks note of it
Arabic	Test	05/16/20	13:16:38	14:08:21	0:51:42.634657	Practice tests of 10th Arabic lesson 5. Number of tests: 16
